C:\Users\Aiel\Downloads\simulator-windows-64\IMG\center_2019_01_11_20_49_00_767.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\left_2019_01_11_20_49_00_767.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\right_2019_01_11_20_49_00_767.jpg, 0, 0, 0, 8.040241E-05
C:\Users\Aiel\Downloads\simulator-windows-64\IMG\center_2019_01_11_20_49_00_867.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\left_2019_01_11_20_49_00_867.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\right_2019_01_11_20_49_00_867.jpg, 0, 0, 0, 7.862052E-05
C:\Users\Aiel\Downloads\simulator-windows-64\IMG\center_2019_01_11_20_49_00_968.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\left_2019_01_11_20_49_00_968.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\right_2019_01_11_20_49_00_968.jpg, 0, 0, 0, 7.851395E-05
C:\Users\Aiel\Downloads\simulator-windows-64\IMG\center_2019_01_11_20_49_01_069.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\left_2019_01_11_20_49_01_069.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\right_2019_01_11_20_49_01_069.jpg, 0, 0, 0, 7.964564E-05
C:\Users\Aiel\Downloads\simulator-windows-64\IMG\center_2019_01_11_20_49_01_170.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\left_2019_01_11_20_49_01_170.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\right_2019_01_11_20_49_01_170.jpg, 0, 0, 0, 7.891157E-05
C:\Users\Aiel\Downloads\simulator-windows-64\IMG\center_2019_01_11_20_49_01_273.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\left_2019_01_11_20_49_01_273.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\right_2019_01_11_20_49_01_273.jpg, 0, 0, 0, 7.817458E-05
C:\Users\Aiel\Downloads\simulator-windows-64\IMG\center_2019_01_11_20_49_01_533.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\left_2019_01_11_20_49_01_533.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\right_2019_01_11_20_49_01_533.jpg, 0, 0, 0, 7.801635E-05
C:\Users\Aiel\Downloads\simulator-windows-64\IMG\center_2019_01_11_20_49_01_633.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\left_2019_01_11_20_49_01_633.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\right_2019_01_11_20_49_01_633.jpg, 0, 0, 0, 7.997358E-05
C:\Users\Aiel\Downloads\simulator-windows-64\IMG\center_2019_01_11_20_49_01_735.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\left_2019_01_11_20_49_01_735.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\right_2019_01_11_20_49_01_735.jpg, 0, 0, 0, 7.774053E-05
C:\Users\Aiel\Downloads\simulator-windows-64\IMG\center_2019_01_11_20_49_01_837.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\left_2019_01_11_20_49_01_837.jpg, C:\Users\Aiel\Downloads\simulator-windows-64\IMG\right_2019_01_11_20_49_01_837.jpg, 0, 0, 0, 8.323407E-05
